Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Miscellaneous molluscs & aq. inver., other than live, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,6935,10473,11291,6543,16489,19304,21534,13648,19077,17948,0,21901,19368,13489,14142,12059,15752,16654,12834,12877,15228,16679,13963,14721,9200,10194,11273,0,0,0,0,0,0,0,0
China,"Miscellaneous molluscs, other than live, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,20275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946,9278,30763,48899,81059,3483,570,576.52
China,"Miscellaneous pelagic fish, salted or in brine, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
China,"Molluscs and other aq. invertebrates, prep. or pres., nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,2773,1824,7593,14052,25076,32767,26783,39483,59563,68409,80452,100882,136668,179134,196651,200850,187522,129532,143311,166437,0,0,0,0,0,0,0,0
China,"Molluscs and other aqu. invertebrates, live, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,55033,80387,78510,0,85836,75771,79854,82048,69507,82130,162242,111771,89624,58527,38175,27283,19938,16169,14792,11376,0,0,0,0,0,0,0,0
China,"Molluscs live, for human consumption, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,14000,21000,22372,28757,38156,49588,57885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Molluscs live, spat, for breeding and other purposes, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,41,146,363,0,53,131,197,98,154,8,55,59,61,49,99,69,71,20,1785,4028,4798,2697,3884,3038,2977,4808,4600,7178.41
China,"Molluscs nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5020,2902,2744.64
China,"Molluscs nei, live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,88132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7142,6465,7433,6723,5936,5579,4561,4687.22
China,"Molluscs nei, prepared or preserved",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17152,16743,17874,13484,23701,21675,12822,10610.12
China,"Mussel meat, prepared or preserved, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5877,7690,7394,7100,4809,5507,6109,7687.83
China,"Mussels nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2758,3150.24
China,"Mussels, dried, salted or in brine, smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,2202,2898,3093,3207,3930,2894,1711,2539,3057,5132,3104,1889,2423,2616,2093,870,425,506,290,637,901,381,1537,1294,2354,123,206,46.09
China,"Mussels, live, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,7835,4898,5443,6119,5726,7583,6684,10180,11657,11075,13071,13584,14828,15817,23816,13541,5329,5869,2640,1087,361,110,3,0,0,0,4,61.65
China,"Nile perch (Lates niloticus) and snakeheads (Channa spp.), frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,29,3,3,23,12,6,10.04
China,"Nile perch and snakeheads (Channa spp.),  fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0.09
China,"Nile perch fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,257,348,688,431,492,554,358.15
China,"Norway lobsters (Nephrops spp.), nei, even smoked, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,257,369,353,306,370,286,95.38
China,"Norway lobsters (Nephrops spp.), nei, not frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,94,40,109,28,0,0,0
China,"Octopus, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31630,28161,18992.48
China,"Octopus, live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,184,291,716,2032,3165,2948,3281,5565,8056,10114,12684,16291,16925,15605,17301,16782,13148,13358,11632,10539,10588,9804,11402,10270,8949,9408,7245,8587.63
China,"Octopus, other than live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1509,2831,10879,12868,28292,18855,21179,30365,28152,34375,32657,31975,40637,29424,32286,25416,29643,38662,49735,44977,44459,46206,53979,47489,44979,3743,997,248.38
China,"Octopus, prepared or preserved",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16855,17427,21875,21021,22196,23129,23758,21459.51
China,Ornamental fish nei,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,471,0,1029,460,414,405,607,412,0,0,0,0,0,0,0,0,0,0,530,571,0,0,0,0,0,0,0,0
China,Ornamental freshwater fish,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,362,292,237,220,290,451,478.53
China,Ornamental saltwater fish,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07
China,"Other  edible fish offal, smoked, dried, salted or in brine",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,262,437,488,504,668,1171,1347.82
China,"Other aquatic invertebrates, live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,1781,1919,1788,1825,1783,1556,1439,3165,2343,2079,1790,1772,1679,1626,1908.45
China,"Other aquatic invertebrates, prepared or preserved, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9574,6534,4995,4821,4372,4291,4893,4248.42
