Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Crabs, not frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,5,5,37,44,0,36,42,1024,441,333,47,334,582,945,2458,5901,12464,12428,4810,3357,5277,9092,16095,23905,30653,29917,33224,33195,31434,39066,0,0,0
China,"Crabs, peeled or not, live, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46174,58349,55977.88
China,"Crayfish (freshwater), live, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,1,1,107,41,0,6,0,176,0,0,23,3,0,212,0,0,0,0,0,19,248,8,0
China,"Crayfish (freshwater), prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23,0,4,459,435,374,631,104,88,0,101,94,3,169,34,126,189,1202,2386,1095.53
China,"Croakers, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,11,27,5,17,35.97
China,"Croakers, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,627,916,770,3360,3875,3661,3832,6761,3710,3832,5143,1207,866,676,457,352,325,1084,5268.52
China,"Crustacean and mollusc preparations, not in airtight containers",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,2,9,13,51,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Crustacean meal, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,168,2874,733,404,1544,1716,3037,5396,0,2003,3221,3847,3027,3539,2294,2373,2592,4801,2267,4060,3479,2678,2463,4127,2385,3472,4660,3128,5149,5368,7682,6079,5329.58
China,"Crustaceans and molluscs, nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,890,705,641,409,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Crustaceans and molluscs, prepared or preserved, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,13,26,42,34,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Crustaceans live, for breeding and other purposes, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1,4,14,0,37,6,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,0.65
China,"Crustaceans nei, dried, salted or in brine, smoked",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,4.25
China,"Crustaceans nei, even smoked, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,55,27,103,83,264,74,535,1008,223,403,41,6,213,17,18,45,112,77,77,230,269,259,4,48,235,279,97,104,360,498,567,693,672.3
China,"Crustaceans nei, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,206,67,210,57,69,54,26,23,50,55,92,28,34,201,3,3,4,10,3,6,2,1,0,2,1,105,28,0
China,"Crustaceans, live, fresh, chilled or boiled in water, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1577,1879.57
China,"Cuttlefish and squid, other than live, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,2300,2500,2706,4204,7726,9935,11199,19135,55435,28532,39843,50011,39540,37950,91656,222384,185755,190857,118429,189355,180247,272514,343384,369466,250435,250903,299094,272604,295019,331324,277036,135381,0,0,0
China,"Cuttlefish and squid, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66169,58657,76606,46912,7329,24428,25238,29566.55
China,"Cuttlefishes and squids, dried, salted or in brine, smoked nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5014,39,1316.92
China,"Cuttlefishes and squids, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255636,201791,353397.72
China,"Cuttlefishes and squids, live, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,2499,7040,1468,7990,2227,1150,4271,2700,4788,3175,3737,2858,7391,3189,760,668,80,735,508,29,130,279,367,110,29,54,45,214.14
