Country (Name),Name1,Name,Fishing_area,Production_source,Unit (Name),[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,Squillids nei,Squillids nei,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246961,270452,261806,299255,306969,279873,303002,315360,294752,292862,294151,292796,294192,236761,219087,220567,221355
China,Mandarin fish,Mandarin fish,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37444,58437,63445,74526,78705,86144,100950,112458,129484,145604,151632,196020,211713,229269,231690,243698,259501,256377,258893,266568,270519,314897,335583,315906,337082
China,Freshwater molluscs nei,Freshwater molluscs nei,Asia - Inland waters,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74100,74500,56400,58198,50221,46308,51802,50151,41644,53237,68908,56464,55964,63538,72382,119749,112911,125704,155222,161396,182341,223825,289484,330284,441994,403448,349413,413958,384072,420015,461001,478455,310241,297681,287548,301637,298518,268267,284331,286980,286576,280775,272272,263297,254084,236710,251847,212048,204830
China,Oriental river prawn,Oriental river prawn,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87139,86710,86496,169131,183961,177312,193211,192397,205010,206001,217674,217607,216239,228319,233719,240571,238413,240739,234358,225321
China,Channel catfish,Channel catfish,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39352,54061,87254,146146,204929,224471,219608,209626,193912,204127,224910,225524,240484,236786,227454,230442,297732
China,Natantian decapods nei,Natantian decapods nei,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259107,350669,240377,218744,142024,171978,193554,181597,232841,261407,235826,240887,233077,253073,228576,196131,204225
China,Sea snails,Sea snails,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136336,177137,208471,234106,258688,224967,201442,201699,193751,205399,203715,222540,232773,239357,254736,239024,241234
China,Japanese eel,Japanese eel,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,67672,80582,91655,100000,110000,120000,147316,155739,146317,144740,140067,135078,141721,139344,153828,154703,189754,207332,205325,211212,206258,196832,193501,187298,198210,211129,210995,217263,233222,234223
China,Japanese sea cucumber,Japanese sea cucumber,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34100,46648,57104,71206,77517,92567,100980,126454,131306,163700,185397,192072,197116,202951,219907,174340,171700
China,Jellyfishes nei,Jellyfishes nei,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600,16000,16600,58200,22068,17109,5131,11653,3644,12967,8988,17966,17582,10000,36461,60908,19380,58484,32098,34944,39174,96009,228459,132572,113354,171905,265325,370128,381807,348856,287278,282645,245120,253930,174653,244175,200771,223868,236626,223151,216056,190126,206885,211315,196174,196705,183617,168538,160673,145794
